[13:32:33] <FROM=ASGNSSGS#TO=HAB#TEXT=4556.23515,00743.75482#CNT=878#RSSI=-77#>
[13:32:40] <FROM=ASGNSS#TO=HAB#TEXT=4556.23824,00743.75604#CNT=57#RSSI=-70#>
[13:32:41] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:13,WDA:28,WSA:15,H:23,T:29,R:0,P:6517,B:423#CNT=879#RSSI=-78#>
[13:32:44] <FROM=HABGS#TO=AS#TEXT=Hello, IGLUNA!#CNT=880#RSSI=-76#>
[13:32:52] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:13,WDA:28,WSA:14,H:23,T:29,R:0,P:6517,B:424#CNT=881#RSSI=-77#>
[13:32:55] <FROM=HABGS#TO=AS#TEXT=Hello, IGLUNA!#CNT=882#RSSI=-75#>
[13:33:02] <FROM=ASGNSS#TO=HAB#TEXT=4556.24297,00743.75718#CNT=59#RSSI=-77#>
[13:33:04] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:0,WDA:28,WSA:0,H:23,T:0,R:0,P:0,B:423#CNT=883#RSSI=-77#>
[13:33:06] <FROM=ASGNSSGS#TO=HAB#TEXT=4556.24297,00743.75718#CNT=884#RSSI=-76#>
[13:33:13] <FROM=ASGNSS#TO=HAB#TEXT=4556.24263,00743.75752#CNT=60#RSSI=-73#>
[13:33:16] <FROM=GSWEA#TO=HAB#TEXT=WD:13,WS:6,WDA:27,WSA:11,H:23,T:29,R:0,P:6516,B:423#CNT=885#RSSI=-76#>
[13:33:17] <FROM=ASGNSSGS#TO=HAB#TEXT=4556.24263,00743.75752#CNT=886#RSSI=-75#>
[13:33:24] <FROM=ASGNSS#TO=HAB#TEXT=4556.24317,00743.75747#CNT=61#RSSI=-71#>
[13:33:28] <FROM=ASGNSS#TO=HAB#TEXT=4556.24317,00743.75747#CNT=61#RSSI=-71#>
[13:33:35] <FROM=ASGNSS#TO=HAB#TEXT=4556.24317,00743.75784#CNT=62#RSSI=-75#>
